course,duration,description,modules,topics
UI/UX designer,4+ місяці,Створюй візуально привабливі та інтуїтивно зрозумілі для користувачів дизайни інтерфейсів.,"['Design Basics', 'Course Fundamentals', 'Communication and Stress Management', 'UX Design — Research', 'Design Basics Extended', 'UI Design — Mobile App Design']",8 тем
Data analyst,4+ місяці,"Аналізуй дані, які допоможуть бізнесу приймати обґрунтовані рішення на основі тенденцій і фактів.","['Data Analytics Basics', 'Course Fundamentals', 'SQL Basics', 'SQL Advanced', 'Google Sheets for Data Analytics', 'Tableau']",5 тем
QA engineer,3+ місяці,"Перевіряй програмне забезпечення на помилки, щоб користувачі отримали якісний продукт.","['QA Basics', 'Course Fundamentals', 'SQL Basics', 'QA Theory', 'Git and Terminal', 'Git and Terminal — Practice']",5 тем
Python developer,4+ місяці,"Пиши й підтримуй код на Python для різного програмного забезпечення, аналізу даних і машинного навчання.","['Python Basics', 'Course Fundamentals', 'Python Basics Extended', 'Git and Terminal', 'Communication and Stress Management', 'Python Core']",10 тем
Digital marketer,3+ місяці,"Створюй маркетингові кампанії, щоб допомагати бізнесу ставати впізнаваним і розвивати свій бренд.","['Digital Marketing Basics', 'Marketing Strategy and Market Research', 'Search Advertising in Google Ads', 'Google Display Network', 'Meta Ads (Facebook, Instagram)', 'Communication and Stress Management']",7 тем
Front-end developer,5+ місяців,"Розробляй видимі частини вебсторінок і мобільних застосунків, щоб кожен клік і скрол були плавними.","['JavaScript Basics', 'Course Fundamentals', 'HTML + CSS Basics', 'Git and Terminal', 'JavaScript Basics Extended', 'HTML + CSS Advanced']",14 тем
Full-stack developer,5+ місяців,Розробляй продукт самостійно — від створення видимої частини (frontend) до серверної (backend).,"['JavaScript Basics', 'Course Fundamentals', 'HTML + CSS Basics', 'Git and Terminal', 'JavaScript Basics Extended', 'HTML + CSS Advanced']",14 тем
DevOps engineer,4+ місяці,"Налагоджуй інструменти і процеси, щоб програмне забезпечення швидше доходило до користувачів.","['Python Basics', 'Python Basics Extended', 'Git and Terminal', 'DevOps Basics', 'How the Web Works', 'Operating Systems']",10 тем
Java developer,4+ місяці,"Розробляй надійне програмне забезпечення на Java, працюй з базами даних і серверною логікою.","['Java Basics', 'Java Basics Extended', 'Git and Terminal', 'Course Fundamentals', 'Java Core', 'SQL Basics']",11 тем
Recruiter,4+ місяці,Шукай і знаходь талановитих кандидатів для конкретних ролей і допомагай адаптуватись новачкам.,"['What Is IT, and How Does It Work', 'Discovering Tech World', 'Recruitment Process', 'Communication and Stress Management', 'Sourcing', 'Employment']",4 теми
