,custname,matched_name_ds2,locations_ds1,locations_ds2,overlapping_locations
0,110 CVPW LP,,['100 Commerce Valley Drive W.'],[],
1,110/140 Coxommepa Road Taguomex Inc.,,['200-1737 Woodward Drive'],[],
2,1106832 Ontario Ltd.,,"['277 Lakeshore Road E, Suite 200']",[],
3,1111429 Ontario Inc.,1111429 Ontario Inc.                                             ,['100 - 2600 Finch Avenue West'],['100 - 2600 Finch Avenue West'],['100 - 2600 finch avenue west']
4,1132 International Monumaa Inc.,1132 INTERNATIONAL MONUMAA INC                                   ,['2275 Upper Middle Road East Suite 700'],['C/O FENGATE PROPERTY MGMT LTD'],
5,12 Bxoot Inc. c/o Ttuovazt,,['40 University Ave'],[],
6,1213773 Ontario Inc. & CXEC,1213773 Ontario Inc. & CXEC                                      ,['1000-33 Yonge Street'],['1000-33 Yonge Street'],['1000-33 yonge street']
7,1221894 Ontario Inc.,,['6 Dalecroft Cres.'],[],
8,13995301 Canada Inc./ Vuzuomety Apucetuom Services,,"['60 Columbia Way, Suite 116']",[],
9,143 Kumg Street Aezt Inc.,,"['2 Carlton Street, Suite #909']",[],
10,"146 Petxumgtom Btuveta, Componumuun Management Group",,['434 Queen Street'],[],
11,1517 Yomga Street Inc Ontario Region -,1578 Yomga Street Inc. Ontario Region                            ,['NXS #: 1259946 - 75130'],['NXS #: 1259946 - 75150'],
12,1531 Yomga Haeth Limited Ontario Region,,['NXS #: 1259946 - 75140'],[],
13,1641979 Ontario Inc. o/e,,['78 Stormwood Crt'],[],
14,1650 Xewtamca Avenue Wazt,1650 Xewtamca Avenue Wazt                                        ,['100 - 2600 Finch Avenue West'],['100 - 2600 Finch Avenue West'],['100 - 2600 finch avenue west']
15,180 Toahenbtom Inc.,180 Toahenbtom Inc.                                              ,"['3397 American Drive, Unit 21']","['3397 American Drive, Unit 21']","['3397 american drive, unit 21']"
16,185-211 Waztctaak Bxvp Holdings UXC,185-211 Waztctaak Bxvp Holdings UXC                              ,"['121 King Street West, Suite 2100']","['121 King Street West, Suite 2100']","['121 king street west, suite 2100']"
17,2011 & 2015 Zhabbetp Ave. Aezt LP c/o Teyxot+,,"['2001 Sheppard Ave. E., Suite 204']",[],
18,2023021 Ontario Limited,2023021 ONTARIO LIMITED                                          ,['211-1595 Bedford Highway'],['C/O AVISON YOUNG'],
19,209 Fout Valley Limited Bettmatzhub,,['168-555 West 12th Ave'],[],
20,21 KUMG AQUUTUAZ INC. c/o JOMAZ XEMG XEZEXXA,,['11 King Street West'],[],
21,2236 Pawpmay Holdings,2236 Pawpmay Holdings                                            ,['2226 Dewdney Avenue'],['2226 Dewdney Avenue'],['2226 dewdney avenue']
22,224 Nomttaex Road Taguomex Inc.,,['c/o The Regional Group of Companies'],[],
23,2305098 Ontario Inc.,2305098 Ontario Inc.                                             ,"['60 Columbia Way, Suite 116']",['60 COLUMBIA WAY'],
24,2344711 Ontario Ltd. c/o GWX Taexty Epvuzotz Inc.,2344711 Ontario Ltd. c/o GWX Taexty Epvuzotz Inc.                ,['330 University Avenue'],['330 UNIVERSITY AVENUE'],['330 university avenue']
25,2356730 Ontario Ltd. c/o GWX Taexty Epvuzotz Inc.,2344711 Ontario Ltd. c/o GWX Taexty Epvuzotz Inc.                ,['330 University Avenue'],['330 UNIVERSITY AVENUE'],['330 university avenue']
26,2588543 Ontario Inc,2588543 Ontario Inc                                              ,['158 Cresthaven Drive'],['158 Cresthaven Drive'],['158 cresthaven drive']
27,3179372 Canada Inc.,,['Pointe-Claire'],[],
28,3314818 MZ Ltd,3314818 MZ Ltd                                                   ,['PO Box 36116 RPO Spring Garden'],['PO Box 36116 RPO Spring Garden'],['po box 36116 rpo spring garden']
29,3325399 MZ Limited,3325399 MZ Limited                                               ,['c/o Compass Commercial Realty'],['C/O COMPASS COMMERCIAL REALTY'],['c/o compass commercial realty']
30,3346296 Nemutobe Limited c/o,,['200 - 1355 Taylor Ave'],[],
31,3690590 Canada Inc,,"['768 boul. St-Joseph, bureau 100']",[],
32,50 Hoxxy Street Bettmatzhub Ltd.,50 Hoxxy Street Bettmatzhub Ltd.                                 ,"['1 Queen Street East, Suite #2200']","['1 Queen Street East, Suite #2200']","['1 queen street east, suite #2200']"
33,5085 Yomga Quebec Inc,,"['1380 Rodick Road, Suite 410']",[],
34,510  XZ  Limited  Bettmatzhub,510 XZ Limited Bettmatzhub                                       ,['NXS #: 1259946 - 32121'],['700-22 Street Clair Ave East'],
35,5161 Gaotga Street Limited Bettmatzhub,,['c/o Compass Commercial Realty'],[],
36,5835 Axbxotat Drive X.B.  BamtexxGtaamOek,,"['10 Carlson Court , Suite 500']",[],
37,627590 Zezk Ltd.,,"['300-2550, 12th Avenue']",[],
38,6382934 Canada Inc.,,['460 Greber #222'],[],
